1,7
1,24
1,29
1,41
1,40
1,34
1,11
1,6
2,26
2,23
2,34
2,20
2,36
2,18
2,11
2,39
3,6
3,21
3,20
3,30
3,8
3,7
3,14
3,33
4,38
4,21
4,24
4,14
4,31
4,22
4,6
4,34
5,17
5,28
5,22
5,18
5,19
5,33
5,10
5,15
6,16
6,35
6,14
6,37
6,34
6,39
6,20
6,8
7,37
7,26
7,11
7,38
7,12
7,36
7,18
7,33
8,11
8,23
8,3
8,14
8,32
8,22
8,10
8,35
9,26
9,32
9,31
9,39
9,2
9,11
9,13
9,16
10,8
10,32
10,16
10,24
10,36
10,43
10,12
10,22
11,26
11,34
11,10
11,9
11,40
11,27
11,5
11,3
12,32
12,20
12,2
12,1
12,40
12,11
12,39
12,31
13,3
13,37
13,35
13,15
13,12
13,24
13,22
13,38
14,40
14,2
14,42
14,3
14,21
14,1
14,8
14,9
15,22
15,8
15,1
15,13
15,28
15,5
15,3
15,29
16,42
16,21
16,5
16,1
16,31
16,25
16,11
16,27
17,41
17,1
17,25
17,37
17,23
17,22
17,43
17,14
18,40
18,37
18,21
18,7
18,43
18,33
18,42
18,5
19,37
19,5
19,4
19,30
19,17
19,42
19,28
19,1
20,28
20,4
20,25
20,29
20,23
20,35
20,12
20,30
21,1
21,16
21,14
21,24
21,37
21,30
21,25
21,20
22,25
22,13
22,40
22,27
22,10
22,9
22,11
22,34
23,2
23,29
23,9
23,10
23,16
23,14
23,42
23,26
24,30
24,8
24,7
24,10
24,5
24,40
24,38
24,42
25,33
25,4
25,31
25,38
25,5
25,14
25,22
25,34
26,36
26,5
26,33
26,20
26,17
26,39
26,12
26,29
27,19
27,32
27,2
27,15
27,25
27,40
27,7
27,11
28,39
28,29
28,38
28,5
28,2
28,11
28,32
28,30
29,28
29,21
29,2
29,16
29,31
29,30
29,19
29,38
30,8
30,10
30,6
30,4
30,39
30,33
30,3
30,14
31,6
31,1
31,10
31,2
31,27
31,23
31,41
31,40
32,11
32,36
32,34
32,13
32,40
32,29
32,26
32,38
33,13
33,20
33,23
33,8
33,41
33,29
33,32
33,15
34,25
34,43
34,19
34,29
34,30
34,10
34,13
34,14
35,36
35,37
35,5
35,34
35,40
35,20
35,38
35,28
36,3
36,31
36,26
36,6
36,21
36,28
36,17
36,13
37,14
37,18
37,28
37,12
37,40
37,39
37,32
37,29
38,1
38,3
38,5
38,35
38,13
38,9
38,16
38,4
39,41
39,33
39,35
39,10
39,18
39,4
39,36
39,25
40,13
40,31
40,27
40,41
40,5
40,11
40,36
40,3
41,25
41,38
41,3
41,29
41,9
41,33
41,36
41,35
42,36
42,34
42,15
42,1
42,25
42,33
42,38
42,17
43,31
43,34
43,11
43,6
43,20
43,40
43,5
43,23
44,1
44,2
44,3
44,4
44,5
44,6
44,7
44,8
44,9
44,10
44,11
44,12
44,13
44,14
44,15
44,16
44,17
44,18
44,19
44,20
44,21
44,22
44,23
44,24
44,25
44,26
44,27
44,28
44,29
44,30
44,31
44,32
44,33
44,34
44,35
44,36
44,37
44,38
44,39
44,40
44,41
44,42
44,43
1,44
2,44
3,44
4,44
5,44
6,44
7,44
8,44
9,44
10,44
11,44
12,44
13,44
14,44
15,44
16,44
17,44
18,44
19,44
20,44
21,44
22,44
23,44
24,44
25,44
26,44
27,44
28,44
29,44
30,44
31,44
32,44
33,44
34,44
35,44
36,44
37,44
38,44
39,44
40,44
41,44
42,44
43,44
